,u_id,c_id,start_ang,vergence_ang,saccade_ang,offset_time,onset_time,travel_time
59,Pilot00,0.0,4.751787187297737,0.0,4.0,0.360104734,0.110008919,0.250095815
60,Pilot00,0.0,4.751787187297737,0.0,4.0,0.320104359,0.115041442,0.205062917
61,Pilot00,0.0,4.751787187297737,0.0,4.0,1.015467694,0.030028795,0.985438899
62,Pilot00,0.0,4.751787187297737,0.0,4.0,0.325156525,0.125037975,0.2001185499999999
63,Pilot00,0.0,4.751787187297737,0.0,4.0,0.325096879,0.080025108,0.245071771
64,Pilot00,0.0,4.751787187297737,0.0,4.0,0.665284442,0.080025635,0.585258807
65,Pilot00,0.0,4.751787187297737,0.0,4.0,0.530170678,0.135018606,0.3951520719999999
66,Pilot00,0.0,4.751787187297737,0.0,4.0,0.340171795,0.135078659,0.205093136
67,Pilot00,0.0,4.751787187297737,0.0,4.0,0.340134371,0.120045082,0.220089289
68,Pilot00,0.0,4.751787187297737,0.0,4.0,0.520173662,0.145049106,0.375124556
69,Pilot00,0.0,4.751787187297737,0.0,4.0,0.345034048,0.155000426,0.1900336219999999
70,Pilot00,0.0,4.751787187297737,0.0,4.0,0.360164547,0.140040199,0.220124348
71,Pilot00,0.0,4.751787187297737,0.0,4.0,0.575134907,0.020003987,0.5551309200000001
72,Pilot00,1.0,4.751787187297737,0.0,8.0,0.28003325,0.009999829,0.270033421
73,Pilot00,1.0,4.751787187297737,0.0,8.0,0.635107098,0.245034117,0.390072981
74,Pilot00,1.0,4.751787187297737,0.0,8.0,0.405105947,0.115050703,0.290055244
75,Pilot00,1.0,4.751787187297737,0.0,8.0,0.400064186,0.185031856,0.21503233
76,Pilot00,1.0,4.751787187297737,0.0,8.0,0.340059512,0.050017581,0.290041931
77,Pilot00,1.0,4.751787187297737,0.0,8.0,0.320049044,0.120027359,0.200021685
78,Pilot00,1.0,4.751787187297737,0.0,8.0,0.365180429,0.020011128,0.345169301
79,Pilot00,1.0,4.751787187297737,0.0,8.0,0.380094988,0.010000912,0.370094076
80,Pilot00,1.0,4.751787187297737,0.0,8.0,0.340172678,0.140085525,0.200087153
81,Pilot00,1.0,4.751787187297737,0.0,8.0,0.345129146,0.135012004,0.210117142
82,Pilot00,1.0,4.751787187297737,0.0,8.0,0.330166363,0.125081252,0.205085111
83,Pilot00,1.0,4.751787187297737,0.0,8.0,0.500070389,0.110020807,0.390049582
84,Pilot00,1.0,4.751787187297737,0.0,8.0,0.635276243,0.010002018,0.625274225
85,Pilot00,1.0,4.751787187297737,0.0,8.0,0.705164053,0.125070735,0.580093318
86,Pilot00,1.0,4.751787187297737,0.0,8.0,0.380097992,0.1750068,0.205091192
87,Pilot00,1.0,4.751787187297737,0.0,8.0,0.285055428,0.009999875,0.275055553
88,Pilot00,1.0,4.751787187297737,0.0,8.0,0.545232313,0.165088816,0.3801434969999999
89,Pilot00,1.0,4.751787187297737,0.0,8.0,0.325007758,0.115000244,0.2100075139999999
90,Pilot00,1.0,4.751787187297737,0.0,8.0,0.380171165,0.12007564,0.260095525
91,Pilot00,1.0,4.751787187297737,0.0,8.0,0.295177236,0.090058196,0.20511904
92,Pilot00,1.0,4.751787187297737,0.0,8.0,0.345189716,0.140097699,0.205092017
93,Pilot00,1.0,4.751787187297737,0.0,8.0,0.335063099,0.020004219,0.31505888
94,Pilot00,1.0,4.751787187297737,0.0,8.0,0.305030577,0.08000944,0.225021137
95,Pilot00,1.0,4.751787187297737,0.0,8.0,0.34003239,0.14001289,0.2000195
96,Pilot00,1.0,4.751787187297737,0.0,8.0,0.310065385,0.110026207,0.200039178
97,Pilot00,1.0,4.751787187297737,0.0,8.0,0.335103225,0.07500684,0.260096385
98,Pilot00,1.0,4.751787187297737,0.0,8.0,0.685205814,0.075011027,0.6101947870000001
99,Pilot00,1.0,4.751787187297737,0.0,8.0,0.335060114,0.110028425,0.225031689
100,Pilot00,1.0,4.751787187297737,0.0,8.0,0.325063941,0.01000285,0.315061091
101,Pilot00,1.0,4.751787187297737,0.0,8.0,0.355057932,0.005001835,0.350056097
102,Pilot00,1.0,4.751787187297737,0.0,8.0,0.345154955,0.025007218,0.320147737
103,Pilot00,1.0,4.751787187297737,0.0,8.0,0.315211847,0.095070745,0.2201411019999999
104,Pilot00,1.0,4.751787187297737,0.0,8.0,0.36506016,0.075013089,0.290047071
105,Pilot00,1.0,4.751787187297737,0.0,8.0,0.320224732,0.100059241,0.220165491
106,Pilot00,1.0,4.751787187297737,0.0,8.0,0.385139912,0.135057177,0.250082735
107,Pilot00,1.0,4.751787187297737,0.0,8.0,0.335099107,0.100041665,0.235057442
108,Pilot00,1.0,4.751787187297737,0.0,8.0,0.310111868,0.040005331,0.270106537
109,Pilot00,1.0,4.751787187297737,0.0,8.0,0.40007469,0.055007578,0.345067112
110,Pilot00,1.0,4.751787187297737,0.0,8.0,0.295106611,0.10002949,0.195077121
111,Pilot00,1.0,4.751787187297737,0.0,8.0,0.340087936,0.130050275,0.210037661
112,Pilot00,1.0,4.751787187297737,0.0,8.0,0.350237751,0.105050689,0.2451870619999999
113,Pilot00,1.0,4.751787187297737,0.0,8.0,0.345147318,0.135076843,0.2100704749999999
114,Pilot00,1.0,4.751787187297737,0.0,8.0,0.3451541,0.14008015,0.20507395
115,Pilot00,1.0,4.751787187297737,0.0,8.0,0.340062067,0.005001894,0.335060173
116,Pilot00,1.0,4.751787187297737,0.0,8.0,0.360023236,0.145017803,0.215005433
117,Pilot00,1.0,4.751787187297737,0.0,8.0,1.045549576,0.1300164,0.915533176
118,Pilot00,1.0,4.751787187297737,0.0,8.0,0.360096313,0.13000988,0.230086433
119,Pilot00,1.0,4.751787187297737,0.0,8.0,0.340039433,0.120026825,0.220012608
120,Pilot00,1.0,4.751787187297737,0.0,8.0,0.330175007,0.120081761,0.210093246
121,Pilot00,1.0,4.751787187297737,0.0,8.0,0.35015199,0.100039004,0.250112986
122,Pilot00,1.0,4.751787187297737,0.0,8.0,0.360033317,0.01000157,0.350031747
123,Pilot00,1.0,4.751787187297737,0.0,8.0,0.320231815,0.010009761,0.3102220539999999
124,Pilot00,1.0,4.751787187297737,0.0,8.0,0.335061617,0.015002819,0.320058798
125,Pilot00,1.0,4.751787187297737,0.0,8.0,0.315184005,0.090067495,0.22511651
126,Pilot00,1.0,4.751787187297737,0.0,8.0,0.355011468,0.005000616,0.350010852
127,Pilot00,1.0,4.751787187297737,0.0,8.0,0.900247783,0.115062765,0.785185018
128,Pilot00,1.0,4.751787187297737,0.0,8.0,0.350072107,0.04000843,0.310063677
129,Pilot00,1.0,4.751787187297737,0.0,8.0,0.265046723,0.010002508,0.2550442149999999
130,Pilot00,1.0,4.751787187297737,0.0,8.0,0.635255474,0.13509496,0.5001605140000001
131,Pilot00,1.0,4.751787187297737,0.0,8.0,0.350173039,0.015006353,0.335166686
132,Pilot00,1.0,4.751787187297737,0.0,8.0,0.450276098,0.110031267,0.340244831
133,Pilot00,1.0,4.751787187297737,0.0,8.0,0.300226255,0.100081129,0.200145126
134,Pilot00,1.0,4.751787187297737,0.0,8.0,0.340028842,0.005000418,0.335028424
135,Pilot00,1.0,4.751787187297737,0.0,8.0,0.305044547,0.090015681,0.2150288659999999
136,Pilot00,1.0,4.751787187297737,0.0,8.0,0.300126275,0.075042972,0.225083303
137,Pilot00,1.0,4.751787187297737,0.0,8.0,0.31016957,0.100070068,0.210099502
138,Pilot00,1.0,4.751787187297737,0.0,8.0,0.510204739,0.130085614,0.380119125
139,Pilot00,1.0,4.751787187297737,0.0,8.0,0.345063469,0.125020895,0.220042574
140,Pilot00,1.0,4.751787187297737,0.0,8.0,0.275010353,0.010001223,0.26500913
141,Pilot00,1.0,4.751787187297737,0.0,8.0,0.345024905,0.110018513,0.235006392
142,Pilot00,2.0,4.751787187297737,0.0,12.0,0.325180218,0.04501496,0.280165258
143,Pilot00,2.0,4.751787187297737,0.0,12.0,0.365045395,0.005001166,0.360044229
144,Pilot00,2.0,4.751787187297737,0.0,12.0,0.340057223,0.140009275,0.200047948
145,Pilot00,2.0,4.751787187297737,0.0,12.0,0.345190201,0.145070746,0.2001194549999999
146,Pilot00,2.0,4.751787187297737,0.0,12.0,0.515206494,0.160024721,0.355181773
147,Pilot00,2.0,4.751787187297737,0.0,12.0,0.355264972,0.005005182,0.35025979
148,Pilot00,2.0,4.751787187297737,0.0,12.0,0.345119236,0.135006351,0.210112885
149,Pilot00,2.0,4.751787187297737,0.0,12.0,0.360153149,0.005000087,0.355153062
150,Pilot00,2.0,4.751787187297737,0.0,12.0,0.34008278,0.125046711,0.2150360689999999
151,Pilot00,2.0,4.751787187297737,0.0,12.0,0.345104886,0.12500677,0.220098116
152,Pilot00,2.0,4.751787187297737,0.0,12.0,0.330052628,0.110023152,0.220029476
153,Pilot00,2.0,4.751787187297737,0.0,12.0,0.485210236,0.100023985,0.385186251
154,Pilot00,2.0,4.751787187297737,0.0,12.0,0.330160666,0.130080796,0.20007987
155,Pilot00,2.0,4.751787187297737,0.0,12.0,0.330143693,0.130016941,0.200126752
156,Pilot00,2.0,4.751787187297737,0.0,12.0,0.325035106,0.115017658,0.210017448
157,Pilot00,2.0,4.751787187297737,0.0,12.0,0.370230458,0.010001545,0.360228913
158,Pilot00,2.0,4.751787187297737,0.0,12.0,0.360201302,0.010006287,0.350195015
159,Pilot00,2.0,4.751787187297737,0.0,12.0,0.320138985,0.010003929,0.3101350559999999
160,Pilot00,2.0,4.751787187297737,0.0,12.0,0.33011966,0.115057541,0.215062119
161,Pilot00,2.0,4.751787187297737,0.0,12.0,0.415101537,0.005001454,0.410100083
162,Pilot00,2.0,4.751787187297737,0.0,12.0,0.350054557,0.120023325,0.2300312319999999
163,Pilot00,2.0,4.751787187297737,0.0,12.0,0.350167369,0.005003666,0.345163703
164,Pilot00,2.0,4.751787187297737,0.0,12.0,0.685406223,0.095042674,0.590363549
165,Pilot00,2.0,4.751787187297737,0.0,12.0,0.370105706,0.0050026,0.3651031059999999
166,Pilot00,2.0,4.751787187297737,0.0,12.0,0.955500074,0.780404578,0.175095496
167,Pilot00,2.0,4.751787187297737,0.0,12.0,0.600413157,0.100054627,0.50035853
168,Pilot00,2.0,4.751787187297737,0.0,12.0,0.375172926,0.005000302,0.370172624
169,Pilot00,2.0,4.751787187297737,0.0,12.0,0.375217913,0.1100701,0.265147813
170,Pilot00,2.0,4.751787187297737,0.0,12.0,0.360013571,0.130011083,0.2300024879999999
171,Pilot00,2.0,4.751787187297737,0.0,12.0,0.350208646,0.145094567,0.205114079
172,Pilot00,2.0,4.751787187297737,0.0,12.0,0.34015143,0.005003426,0.335148004
173,Pilot00,2.0,4.751787187297737,0.0,12.0,0.345074723,0.130044543,0.21503018
174,Pilot00,2.0,4.751787187297737,0.0,12.0,0.325116379,0.095048295,0.230068084
175,Pilot00,2.0,4.751787187297737,0.0,12.0,0.465241829,0.105082142,0.360159687
176,Pilot00,2.0,4.751787187297737,0.0,12.0,0.330146493,0.120070033,0.2100764599999999
177,Pilot00,2.0,4.751787187297737,0.0,12.0,0.340277743,0.130128596,0.210149147
178,Pilot00,2.0,4.751787187297737,0.0,12.0,0.355169317,0.125064974,0.230104343
179,Pilot00,2.0,4.751787187297737,0.0,12.0,0.315132492,0.110038264,0.205094228
180,Pilot00,2.0,4.751787187297737,0.0,12.0,0.335009168,0.005000054,0.330009114
181,Pilot00,2.0,4.751787187297737,0.0,12.0,0.315121967,0.110045485,0.205076482
182,Pilot00,2.0,4.751787187297737,0.0,12.0,0.480175595,0.110066179,0.370109416
183,Pilot00,2.0,4.751787187297737,0.0,12.0,0.33517089,0.125068548,0.210102342
184,Pilot00,2.0,4.751787187297737,0.0,12.0,0.365281394,0.140080451,0.225200943
185,Pilot00,2.0,4.751787187297737,0.0,12.0,0.35023007,0.130105677,0.220124393
186,Pilot00,2.0,4.751787187297737,0.0,12.0,0.315219092,0.015010779,0.300208313
187,Pilot00,2.0,4.751787187297737,0.0,12.0,0.340150324,0.120057399,0.220092925
188,Pilot00,2.0,4.751787187297737,0.0,12.0,0.415254859,0.115096751,0.300158108
189,Pilot00,2.0,4.751787187297737,0.0,12.0,0.34505708,0.130034987,0.215022093
190,Pilot00,2.0,4.751787187297737,0.0,12.0,0.420124506,0.030000066,0.39012444
191,Pilot00,2.0,4.751787187297737,0.0,12.0,0.320137008,0.010004153,0.310132855
192,Pilot00,2.0,4.751787187297737,0.0,12.0,0.375137688,0.145011074,0.230126614
193,Pilot00,2.0,4.751787187297737,0.0,12.0,0.315125693,0.005002245,0.3101234479999999
194,Pilot00,2.0,4.751787187297737,0.0,12.0,0.560108588,0.115025507,0.4450830809999999
195,Pilot00,2.0,4.751787187297737,0.0,12.0,0.360116357,0.150068834,0.2100475229999999
196,Pilot00,2.0,4.751787187297737,0.0,12.0,0.405126436,0.100050954,0.305075482
